song_title,lyrics
真夜中のドア,"私は私 貴方は貴方と
昨夜言ってたそんな気もするわ
グレイのジャケットに見覚えがあるコーヒーのしみ
相変らずなのね ショーウィンドウに二人映れば

stay with me…真夜中のドアをたたき
帰らないでと泣いたあの季節が 今 目の前
stay with me…口ぐせを言いながら
二人の瞬間を抱いてまだ忘れず
大事にしていた

恋と愛とは違うものだよと
昨夜言われたそんな気もするわ
二度目の冬が来て離れていった貴方の心
ふり返ればいつもそこに貴方を感じていたの

stay with me…真夜中のドアをたたき
心に穴があいたあの季節が 今 目の前
stay with me…淋しさまぎらわして
置いたレコードの針同じメロディ繰り返していた……
stay with me…真夜中のドアをたたき
帰らないでと泣いたあの季節が 今 目の前
stay with me…口ぐせを言いながら
二人の瞬間を抱いてまだ忘れず 暖めてた"
フライディ・チャイナタウン,"It's So Fly-Day Fly-Day CHINA TOWN
真夜中の人ごみに
It's So Fly-Day Fly-Day CHINA TOWN
はじけるネオンサイン

肩にぶつかる人外 ウインクを投げる
知らん顔のあなた とまどいのひとコマ
踊りつかれていても 朝まで遊ぶわ
港の見える場所で 何か飲みたいのよ

It's So Fly-Day Fly-Day CHINA TOWN
ジャスミンに接吻を
It's So Fly-Day Fly-Day CHINA TOWN
私も異国人ね

お店にならぶ 絹のドレスを指さす
渋い顔のあなた わがままがいいたい
愛想笑いのおばさん きっと似合うわと
どこか静かな場所で 着がえてみたいのよ

It's So Fly-Day Fly-Day CHINA TOWN
頬ずれの月あかり
It's So Fly-Day Fly-Day CHINA TOWN
私も異国人ね"
プラスティック・ラヴ,"突然のキスや熱いまなざしで
恋のプログラムを狂わせないでね
出逢いと別れ上手に打ち込んで
時間がくれば終わる Don't hurry!

愛に傷ついたあの日からずっと
昼と夜が逆の暮らしを続けて
はやりのDiscoで踊り明かすうちに
おぼえた魔術なのよ I'm sorry!

私のことを決して本気で愛さないで
恋なんてただのゲーム 楽しめばそれでいいの
閉ざした心を飾る 派手なドレスも靴も 孤独な友だち
私を誘う人は皮肉なものね いつも彼に似てるわ
なぜか思い出と重なり合う
グラスを落として急に涙ぐんでも わけは尋ねないでね

夜更けの高速で眠りにつくころ
ハロゲンライトだけ妖しく輝く
氷のように冷たい女だと
ささやく声がしても Don't worry!

I'm just playing games I know that's plastic love
Dance to the plastic beat Another morning comes
I'm just playing games I know that's plastic love
Dance to the plastic beat Another morning comes"
未来,"あゝ 私の未来はあなたと同じ
あゝ あなたの未来は私と同じ

あなたの甘いくちづけが
私の未来を決めるのよ
愛されてしまったの
小さいけれどしあわせを
あげるとあなたは抱きしめる
うなづいてしまったの
まぶしさにおぼれて
悲しみも見えない
二人だけ 白い部屋

あゝ 私の未来はあなたと同じ
あゝ あなたの未来は私と同じ

小指が話す約束が
私を夢中にさせるのよ
酔わされてしまったの
何もかも あずけて
その腕にぶらさがり
二人だけ青い径

あゝ 私の未来はあなたと同じ
あゝ あなたの未来は 私と同じ"
冷たい雨,"自分の影が見つからない
お祭り騒ぎの街角
足を伸ばせばすれちがう
私は夜を飛ばして Highway Blues

この頃とってもいいね
どこを歩いてきたの?
何を探してきたの?
見えない色を見てきたの? Woo

吹き出す 冷たい雨

はじめての道はいつも違い
帰り道は Keep off U-turn
知らない街はいつも怖い
私の Road Map 手さぐり Highway Blues

この頃とってもいいね
どこを歩いてきたの?
何を探してきたの?
見えない色を見てきたの? Woo

吹き出す 冷たい雨

この頃とってもいいね
どこを歩いてきたの?
何を探してきたの?
見えない色を見てきたの? Woo
"
4:00A.M.,"目覚めると夜明け前の闇は息をひそめて
静けさが追いつめる言葉が見つからない
Lord give me one more chance
これが最後かしら
Lord give me one more chance
どうにかしたいの

今を 今を 逃がしたなら
すれちがう このままで もう出逢えない
Lord give me one more chance
これが最後かしら
Lord give me one more chance
どうにかしたいの

今を 今を 逃がしたなら
すれちがう このままで もう出逢えない

これ以上 おたがいにごまかしあうのはいや
ふりかえり思うたび 答えが見つからない
Lord give me one more chance
これが最後かしら
Lord give me one more chance
どうにかしたいの
Lord give me one more chance

これが最後かしら
Lord give me one more chance
どうにかしたいの"
Counterlight,"「ツキを呼ぶわ」って頬にキスして
耳元で君がささやく Billiard Bar

コーナーをかすめた最後の球だね
口説せない僕を優しく責めるのさ

君が欲しいと 言わせたいのか
そんな瞳をしてる

Vision in the Counterlight
「嫌いなの…」って 聞いたね
切ない心を君は見透し

Vision in the Counterlight
逆光線に向けたレンズのようにね
瞳閉じたよ

ため息残して時間が溶けてく
グラスを弾いて謎をかけたね

ツキのあるうちに 口説くものよと
肩先に髪を預けて窓指した

時間切れだね 今日はこのまま
ごめん別れよう

Vision in the Counterlight
本当のことを 言えば
君を抱きしめるために 逢ったよ…

Vision in the Counterlight
二人別々の部屋 帰るのもいいね
同じ気持で…

夜が明けてくね
静けさと 僕だけ 置き去りに…

Vision in the Counterlight
本当のことを言えば
君を抱きしめるために 逢ったよ

Vision in the Counterlight
逆光線に向けた レンズのようにね
君がまぶしい…

Vision in the Counterlight"
Midnight pretenders,"Midnight pretenders
背中のホクロを
なぞれば　にじむ　涙
Uneasy heart (uneasy heart)

軽い寝息　たてながら
泳ぎ疲れた　魚のように
眠りを　貪る人
How much I love you
(i love you)

二人を　載せた船は
夜の海を　さすらって
明日は　何処へ　流れ　流されるの

Every time I wish
monopolize your love
行く先　告げない　旅人
Every time I wish
that you would be mine
貴方のすべてが　欲しいの

Midnight pretenders
闇に　隠れて
束の間　ぬくもり分け合う
Secret love (secret love)

窓に　しのび込む　朝が
急き立てる　別れ
最後は　いつも　胸につまる
Say goodbye (say goodbye)

深い　海の底に
言えない　言葉　沈めて
置き去りの　孤独に
唇　噛むだけなの

Every time I wish
monopolize your love
約束　交わさぬ　恋人
Every time I wish
that you would be mine
貴方のすべてが　欲しいの

二人を　載せた船は
夜の海を　さすらって
明日は　何処へ　流れ　流されるの

Every time I wish
monopolize your love
行く先　告げない　旅人
Every time I wish
that you would be mine
貴方のすべてが　欲しいの

Every time I wish
monopolize your love
行く先　告げない　旅人
Every time I wish
that you would be mine
貴方のすべてが　欲しいの
(that you would be mine)"
黄昏のBAY CITY,"ああ　あなたを追って
黄昏のBay City
ああ　めぐり逢えたら
黙って抱きとめて

煙草の香り　冷えきったKiss
投げただけで　あなたは消えた
素直になれば　つづいてた愛
シーズン・オフの海は笑い
風が凍るわ

こごえきった　カモメみたいよ
黄昏のBay City
ああ　あなたの好きな
港が暮れてゆく

若さはたぶん　見えないナイフ
もつれ合って　心が切れた
馬鹿ね今頃　愛が痛いの
あなただけが　この傷口
ふさげる男よ

空が海を　抱くみたいに
愛し合えた奇跡を
もう一度だけ…もう一度だけ…
幻でいい

ああ　あなたを追って
黄昏のBay City
ああ　めぐり逢えたら
黙って抱きとめて"
ロンサム・シーズン,"それはいつも
はしゃぎ過ぎた
季節のあとにやってくる

頬と頬よせ 歩いた砂浜
足あとを消す 白い波も
今はただの 想い出なの
私の胸に残るだけ
さよなら さよなら あの瞳
くちづけさえ交さず 失った恋
ああ せつなさに
ああ あふれる涙
あなたのせいなの I still love you

小さな嘘が 二人をへだてた
秘密だらけの あなたのことを
知れば知るほど 遠くなるの
ほんとは誰かを愛してた
さよなら さよなら もう二度と
顔合わせることさえ ない人だけど
ああ 懐かしく
ああ よみがえるのよ
今でも心は I still love you

さよなら さよなら あの瞳
くちづけさえ交さず 失った恋
ああ せつなさに
ああ あふれる涙
あなたのせいなの I still love you

今でも心は I still love you
あなたのせいなの I still love you"
